,content_length,last_modified,date_retrieved,content_type,file_url,eis_url
0,290416,"Wed, 05 Nov 2014 11:20:49 GMT","Thu, 06 Nov 2014 00:58:53 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140282/%24file/20140282.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/57AA1805284A188985257D8700215935
1,771644,"Wed, 05 Nov 2014 11:22:32 GMT","Thu, 06 Nov 2014 00:58:53 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140285/%24file/20140285.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/85F87AED5215394085257D8700215B63
2,606094,"Wed, 05 Nov 2014 11:23:50 GMT","Thu, 06 Nov 2014 00:58:53 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140279/%24file/20140279.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/9F7DBFF7F8429C7C85257D8700214FE2
3,2128562,"Wed, 05 Nov 2014 11:29:22 GMT","Thu, 06 Nov 2014 00:58:54 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140269/%24file/20140269.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/AA9B37D5A9094A3385257D8700214F17
4,668566,"Fri, 31 Oct 2014 10:15:07 GMT","Thu, 06 Nov 2014 00:58:54 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140268/%24file/20140268.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/5E206B99E461CE8A85257D82001BCF36
5,186285,"Wed, 05 Nov 2014 11:29:22 GMT","Thu, 06 Nov 2014 00:58:54 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140265/%24file/20140265.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/B8AD5F5E6B5C036E85257D8700214E49
6,243589,"Sun, 26 Oct 2014 19:07:46 GMT","Thu, 06 Nov 2014 00:58:54 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140258/%24file/20140258.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/B7BFAE67ED9D03A885257D73001BB3EA
7,72800,"Fri, 17 Oct 2014 10:14:30 GMT","Thu, 06 Nov 2014 00:58:54 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140263/%24file/20140263.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/16025EBB40A5507085257D74001BC05D
8,1500100,"Wed, 05 Nov 2014 11:31:08 GMT","Thu, 06 Nov 2014 00:58:54 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140262/%24file/20140262.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/E9A4E50484C2C17385257D870021482E
9,1692031,"Fri, 24 Oct 2014 10:37:42 GMT","Thu, 06 Nov 2014 00:58:54 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140244/%24file/20140244.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/5A59FF6A16C8E92885257D7A001BA2D7
10,1426706,"Wed, 05 Nov 2014 11:13:39 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140253/%24file/20140253.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/019A2A9513714DE985257D87002147E5
11,933801,"Wed, 05 Nov 2014 11:20:30 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140246/%24file/20140246.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/49849A2307E6316B85257D87002146AB
12,2133823,"Wed, 05 Nov 2014 11:24:27 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140243/%24file/20140243.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/9A796B0896EE68A385257D8700214491
13,386087,"Mon, 27 Oct 2014 10:09:18 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140233/%24file/20140233.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/79BB1007DA317E9E85257D78001BA2A0
14,104329,"Mon, 27 Oct 2014 10:07:06 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140230/%24file/20140230.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/4A6577A28F27D36485257D7A001B9E96
15,376576,"Wed, 05 Nov 2014 11:19:55 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140239/%24file/20140239.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/22DDDADB7055BBC085257D870021374E
16,1023460,"Mon, 27 Oct 2014 14:23:04 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140232/%24file/20140232.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/F235360D1E5609AF85257D71001BC32C
17,319159,"Wed, 10 Sep 2014 10:13:16 GMT","Thu, 06 Nov 2014 00:59:21 GMT",application/pdf,http://yosemite.epa.gov/oeca/webeis.nsf/%28PDFView%29/20140237/%24file/20140237.PDF,http://yosemite.epa.gov/oeca/webeis.nsf/EIS01/45501EE9A826924785257D4E001BE947
